zona,lat,lon,ph_suelo,as_mgkg,as_sd,b_mgkg,b_sd,cd_mgkg,cd_sd,cu_mgkg,cu_sd,fe_mgkg,fe_sd,hg_mgkg,hg_sd,pb_mgkg,pb_sd,zn_mgkg,zn_sd,fuente
La Joya (vinedo),-16.4575,-71.8046,7.39,3.746,0.37,35.890,4.19,0.187,0.03,34.020,2.35,4971.03,277.7,0.231,0.09,5.115,0.51,36.399,4.25,Zegarra-Aymara_et_al_2025_UNSA
Majes Tradicion,-16.2259,-72.4434,7.42,4.684,0.37,35.135,4.19,0.356,0.03,24.126,2.35,7963.38,277.7,0.000,0.09,2.862,0.51,39.562,4.25,Zegarra-Aymara_et_al_2025_UNSA
CIEPA-Majes,-16.3310,-72.2229,7.36,5.016,0.37,30.344,4.19,0.203,0.03,23.328,2.35,6121.75,277.7,0.072,0.09,2.900,0.51,24.089,4.25,Zegarra-Aymara_et_al_2025_UNSA
San Isidro,-16.5705,-71.9294,7.58,4.255,0.37,20.443,4.19,0.201,0.03,30.020,2.35,5293.36,277.7,0.042,0.09,4.460,0.51,31.952,4.25,Zegarra-Aymara_et_al_2025_UNSA
